"Longitude","Latitude"
-111.941307,33.507836
-111.938963,33.629242
-111.937674,33.405284
-111.9364852,33.3305275
-111.9334855,33.3775262
-111.931292,33.478561
-111.930126,33.541527
-111.93,33.42
-111.929404,33.624294
-111.928779,33.299484
-111.925175,33.444988
-111.923338,33.824792
-111.922792,33.491563
-111.919812,33.567355
-111.916474,33.622063
-111.915861,33.646522
-111.912248,33.547218
-111.894789,33.400152
-111.89442,33.384153
-111.876507,33.2702
-111.873191,33.205559
-111.870198,33.290182
-111.870049,33.318977
-111.86742,33.213953
-111.8664836,33.3459275
-111.864333,33.632248
-111.854354,33.323744
-111.851019,33.292947
-111.84853,33.228758
-111.845518,33.333398
-111.843572,33.266962
-111.839171,33.381812
-111.831317,33.413391
-111.830928,33.579531
-111.8264822,33.2955292
-111.820858,33.569611
-111.819753,33.415581
-111.809917,33.317572
-111.802869,33.305367
-111.80178,33.292371
-111.79383,33.448864
-111.782319,33.296195
-111.781475,33.325693
-111.776928,33.378585
-111.771812,33.454954
-111.77112,33.321678
-111.765894,33.419845
-111.765755,33.299316
-111.762195,33.332233
-111.75001,33.300412
-111.739739,33.63791
-111.737423,33.37357
-111.734072,33.311812
-111.730093,33.388424
-111.727683,33.286814
-111.713117,33.407036
-111.711372,33.273273
-111.711226,33.332899
-111.702375,33.440161
-111.699197,33.353435
-111.690478,33.487774
-111.685788,32.86695
-111.6744792,33.370028
-111.669446,33.716941
-111.653939,33.391242
-111.6504787,33.3777279
-111.642897,33.278075
-111.630452,33.373422
-111.623214,33.231529
-111.619437,33.376306
-111.608202,33.253567
-111.586718,33.354498
-111.58582,33.374565
-111.554278,33.24813
-111.551721,33.163477
-111.547489,33.256374
-111.514752,33.139424
-111.507047,33.381086
-111.462957,33.378404
-111.450545,33.369047
-111.36675,33.3133
-111.095158,32.348672
-111.047915,31.608794
-111.043802,32.209235
-111.031455,32.338383
-111.00798,32.365903
-110.988092,27.96048
-110.976696,32.332992
-110.955316,32.386664
-110.942803,32.34713
-110.876965,32.250225
-110.853379,32.236466
-107.479565,25.172236
-107.383889,24.737778
-106.474631,31.720664
-106.405203,31.685872
-106.362956,31.687529
-105.351132,20.507426
-105.26435,20.554325
-105.243466,20.590068
-105.241245,20.652891
-105.217243,20.647157
-104.80052,19.247871
-104.410327,19.105025
-104.324792,19.099492
-103.931615,20.764742
-103.857212,20.574458
-103.607025,19.876038
-103.559585,20.725884
-103.521235,20.719503
-103.502639,20.467595
-103.490334,20.512701
-103.484906,20.568974
-103.469617,20.625216
-103.46468,20.572025
-103.446723,20.586337
-103.442357,20.786835
-103.435685,20.602653
-103.434334,20.750204
-103.431069,20.871472
-103.418056,20.678611
-103.415458,20.61107
-103.41275,20.708612
-103.40966,20.657015
-103.382848,20.722318
-103.381158,20.689995
-103.378967,20.756911
-103.374902,20.671423
-103.372957,20.746935
-103.367831,20.544232
-103.366887,20.721568
-103.359212,20.714473
-103.333025,20.66249
-103.329154,20.292131
-103.317908,20.699488
-103.316298,20.732388
-103.315885,20.723193
-103.302639,20.638794
-103.277589,20.294861
-103.276134,20.640263
-103.267524,20.665087
-103.264138,20.629175
-103.238587,20.295568
-103.193294,20.322928
-103.192599,20.349081
-103.170463,20.7086
-103.132125,20.164408
-102.612742,21.014355
-102.516062,20.545695
-102.310313,21.894912
-102.049164,20.552192
-101.757941,21.172644
-101.71127,21.175648
-101.698573,21.124115
-101.521297,19.11414
-101.28181,19.394361
-101.234935,19.629736
-101.204537,19.656846
-101.203063,19.685672
-101.184402,19.753922
-101.151048,19.664004
-100.403328,20.558037
-100.346818,19.409997
-100.332176,25.778387
-100.308331,25.671111
-100.277139,20.604538
-100.142333,19.200697
-100.104728,19.23579
-100.101592,25.361983
-99.948936,20.370072
-99.78337,18.892427
-99.717488,19.267392
-99.705347,20.545187
-99.675078,18.829169
-99.664444,18.826944
-99.545807,27.475778
-99.525725,17.652647
-99.303656,19.346712
-99.294281,19.587902
-99.286963,19.329998
-99.284285,19.401853
-99.259969,18.968375
-99.25956,19.407544
-99.257347,18.989917
-99.25495,19.552413
-99.234702,19.516502
-99.231369,18.963005
-99.219643,18.841877
-99.219623,18.933503
-99.218649,19.217629
-99.206106,19.356836
-99.195775,18.808377
-99.191634,19.284412
-99.190385,18.869177
-99.186317,18.938644
-99.174826,19.586866
-99.170639,19.308008
-99.157622,19.680887
-99.138931,19.89533
-99.130402,19.29942
-99.121438,18.749348
-99.111761,19.332772
-99.096484,18.9838
-99.087552,19.61283
-99.083756,18.985551
-99.07933,19.327375
-99.056293,19.2836
-99.048012,18.889076
-99.03865,18.976517
-99.027229,19.631458
-98.980348,19.338242
-98.971648,18.964347
-98.967046,18.848757
-98.952039,19.339748
-98.937797,18.924655
-98.929976,18.909213
-98.922461,19.63974
-98.922134,19.414398
-98.916894,19.595956
